"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"3132701","MG","Itambacuri","https://cidades.ibge.gov.br/brasil/mg/itambacuri/panorama","23.207 pessoas","22.809 pessoas","16,07 hab/km²","1,6 salários mínimos","2.215 pessoas","9,5 %","43,9 %","98,2 %","5,3","3,8","3.160 matrículas","875 matrículas","187 docentes","43 docentes","21 escolas","2 escolas","11.670,65 R$","85,1 %","0,634","51.483,33 R$ (×1000)","48.320,43 R$ (×1000)","17,18 óbitos por mil nascidos vivos","7,8 internações por mil habitantes","14 estabelecimentos","1.419,209 km²","59,1 %","39,7 %","3,5 %","Mata Atlântica","Não pertence","Centro Local (5)","Teófilo Otoni - Capital Regional C (2C)","Teófilo Otoni","Teófilo Otoni","Vale do Rio Doce","Governador Valadares"
"3110509","MG","Camanducaia","https://cidades.ibge.gov.br/brasil/mg/camanducaia/panorama","21.831 pessoas","21.080 pessoas","39,89 hab/km²","1,9 salários mínimos","6.705 pessoas","30,8 %","30,5 %","98,2 %","5,6","4,6","3.005 matrículas","816 matrículas","172 docentes","73 docentes","12 escolas","4 escolas","25.876,92 R$","69,5 %","0,689","58.377,91 R$ (×1000)","52.465,95 R$ (×1000)","3,6 óbitos por mil nascidos vivos","1,5 internações por mil habitantes","7 estabelecimentos","528,688 km²","66,3 %","36,5 %","28,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Pouso Alegre - Capital Regional C (2C)\; Bragança Paulista - Centro Subregional A (3A)","Pouso Alegre","Pouso Alegre","Sul/Sudoeste de Minas","Pouso Alegre"
"3119203","MG","Coroaci","https://cidades.ibge.gov.br/brasil/mg/coroaci/panorama","9.897 pessoas","10.270 pessoas","17,82 hab/km²","1,6 salários mínimos","776 pessoas","7,8 %","44,1 %","96,9 %","6,4","4,7","1.131 matrículas","334 matrículas","94 docentes","38 docentes","12 escolas","3 escolas","10.900,15 R$","87,9 %","0,626","27.443,40 R$ (×1000)","25.880,81 R$ (×1000)","- óbitos por mil nascidos vivos","0,2 internações por mil habitantes","6 estabelecimentos","576,274 km²","53 %","73,8 %","20,4 %","Mata Atlântica","Não pertence","Centro Local (5)","Governador Valadares - Capital Regional C (2C)","Governador Valadares","Governador Valadares","Vale do Rio Doce","Governador Valadares"
"3108255","MG","Bonito de Minas","https://cidades.ibge.gov.br/brasil/mg/bonito-de-minas/panorama","11.502 pessoas","9.673 pessoas","2,48 hab/km²","1,6 salários mínimos","537 pessoas","4,8 %","55,8 %","93 %","5,3","4,1","1.571 matrículas","559 matrículas","129 docentes","70 docentes","16 escolas","5 escolas","6.615,31 R$","91,5 %","0,537","27.769,79 R$ (×1000)","25.677,39 R$ (×1000)","17,86 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","1 estabelecimentos","3.936,455 km²","0,6 %","80,5 %","0 %","Cerrado","Não pertence","Centro Local (5)","Januária - Centro Subregional B (3B)","Montes Claros","Januária","Norte de Minas","Januária"
"3132206","MG","Itaguara","https://cidades.ibge.gov.br/brasil/mg/itaguara/panorama","13.510 pessoas","12.372 pessoas","30,14 hab/km²","1,7 salários mínimos","3.481 pessoas","26,1 %","29,3 %","96,4 %","7,0","5,5","1.535 matrículas","381 matrículas","85 docentes","20 docentes","7 escolas","1 escolas","20.690,42 R$","72,7 %","0,691","33.539,95 R$ (×1000)","30.448,66 R$ (×1000)","- óbitos por mil nascidos vivos","1,1 internações por mil habitantes","21 estabelecimentos","410,468 km²","80,4 %","50,5 %","36,4 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Divinópolis","Oliveira","Metropolitana de Belo Horizonte","Itaguara"
"3155702","MG","Rio Piracicaba","https://cidades.ibge.gov.br/brasil/mg/rio-piracicaba/panorama","14.325 pessoas","14.149 pessoas","37,93 hab/km²","2,2 salários mínimos","2.625 pessoas","18,3 %","38 %","98,9 %","6,7","5,1","1.586 matrículas","489 matrículas","108 docentes","28 docentes","9 escolas","1 escolas","39.144,44 R$","82,2 %","0,685","43.376,00 R$ (×1000)","36.371,06 R$ (×1000)","20,13 óbitos por mil nascidos vivos","2,5 internações por mil habitantes","6 estabelecimentos","373,037 km²","73,7 %","55,5 %","47,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de João Monlevade/MG - Centro Subregional B (3B)","Ipatinga","João Monlevade","Metropolitana de Belo Horizonte","Itabira"
"3120102","MG","Couto de Magalhães de Minas","https://cidades.ibge.gov.br/brasil/mg/couto-de-magalhaes-de-minas/panorama","4.436 pessoas","4.204 pessoas","8,66 hab/km²","2,0 salários mínimos","730 pessoas","16,6 %","45,3 %","98,7 %","6,0","4,9","582 matrículas","168 matrículas","38 docentes","12 docentes","2 escolas","1 escolas","9.822,62 R$","90,6 %","0,659","16.351,80 R$ (×1000)","14.779,67 R$ (×1000)","17,86 óbitos por mil nascidos vivos","- internações por mil habitantes","2 estabelecimentos","485,654 km²","73 %","43,2 %","4,7 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Diamantina - Centro Subregional B (3B)","Teófilo Otoni","Diamantina","Jequitinhonha","Diamantina"
"3127370","MG","Goiabeira","https://cidades.ibge.gov.br/brasil/mg/goiabeira/panorama","3.402 pessoas","3.053 pessoas","27,15 hab/km²","1,5 salários mínimos","393 pessoas","11,7 %","41,7 %","96,8 %","6,1","-","423 matrículas","99 matrículas","27 docentes","12 docentes","2 escolas","1 escolas","11.478,87 R$","- %","0,647","14.809,23 R$ (×1000)","13.232,45 R$ (×1000)","- óbitos por mil nascidos vivos","2,1 internações por mil habitantes","3 estabelecimentos","112,443 km²","67,8 %","95,8 %","10,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Governador Valadares - Capital Regional C (2C)","Governador Valadares","Governador Valadares","Vale do Rio Doce","Aimorés"
"3112901","MG","Caputira","https://cidades.ibge.gov.br/brasil/mg/caputira/panorama","9.318 pessoas","9.030 pessoas","48,11 hab/km²","1,4 salários mínimos","654 pessoas","7,0 %","49,2 %","96,4 %","6,1","3,6","1.192 matrículas","317 matrículas","90 docentes","26 docentes","9 escolas","1 escolas","8.621,34 R$","81,6 %","0,615","17.700,78 R$ (×1000)","16.580,57 R$ (×1000)","9,09 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","9 estabelecimentos","187,704 km²","49,3 %","80,3 %","52 %","Mata Atlântica","Não pertence","Centro Local (5)","Manhuaçu - Centro Subregional A (3A)","Juíz de Fora","Manhuaçu","Zona da Mata","Manhuaçu"
"3106002","MG","Bela Vista de Minas","https://cidades.ibge.gov.br/brasil/mg/bela-vista-de-minas/panorama","10.269 pessoas","10.004 pessoas","91,66 hab/km²","2,5 salários mínimos","1.330 pessoas","13,0 %","37,5 %","100 %","5,9","4,8","1.242 matrículas","399 matrículas","84 docentes","29 docentes","6 escolas","1 escolas","24.802,97 R$","82,6 %","0,674","32.314,61 R$ (×1000)","29.417,77 R$ (×1000)","18,18 óbitos por mil nascidos vivos","- internações por mil habitantes","3 estabelecimentos","109,143 km²","86,5 %","53,3 %","31,6 %","Mata Atlântica","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de João Monlevade/MG","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Ipatinga","João Monlevade","Metropolitana de Belo Horizonte","Itabira"
"3100203","MG","Abaeté","https://cidades.ibge.gov.br/brasil/mg/abaete/panorama","23.263 pessoas","22.690 pessoas","12,49 hab/km²","1,7 salários mínimos","4.603 pessoas","19,8 %","33,4 %","99,8 %","6,9","4,9","2.383 matrículas","679 matrículas","121 docentes","36 docentes","16 escolas","2 escolas","21.286,43 R$","86,8 %","0,698","45.220,32 R$ (×1000)","40.774,22 R$ (×1000)","8,44 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","9 estabelecimentos","1.817,067 km²","85 %","91,6 %","13,9 %","Cerrado","Não pertence","Centro de Zona A (4A)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Divinópolis","Abaeté","Central Mineira","Três Marias"
"3100609","MG","Água Boa","https://cidades.ibge.gov.br/brasil/mg/agua-boa/panorama","13.319 pessoas","15.195 pessoas","11,51 hab/km²","1,5 salários mínimos","1.012 pessoas","7,4 %","46,8 %","92,9 %","6,5","4,3","2.005 matrículas","609 matrículas","156 docentes","63 docentes","19 escolas","3 escolas","10.181,74 R$","91,9 %","0,576","29.538,64 R$ (×1000)","27.745,68 R$ (×1000)","12,9 óbitos por mil nascidos vivos","14,7 internações por mil habitantes","7 estabelecimentos","1.320,344 km²","51,6 %","20,5 %","18,2 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Capelinha - Centro de Zona A (4A)","Teófilo Otoni","Capelinha","Vale do Rio Doce","Peçanha"
"3170107","MG","Uberaba","https://cidades.ibge.gov.br/brasil/mg/uberaba/panorama","340.277 pessoas","295.988 pessoas","65,43 hab/km²","2,6 salários mínimos","101.493 pessoas","30,4 %","27,5 %","97,7 %","6,0","5,1","37.627 matrículas","11.181 matrículas","1.940 docentes","848 docentes","95 escolas","36 escolas","44.522,83 R$","53,5 %","0,772","1.086.838,65 R$ (×1000)","977.098,28 R$ (×1000)","14,57 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","71 estabelecimentos","4.523,957 km²","97,2 %","90,7 %","31,5 %","Cerrado;Mata Atlântica","Não pertence","Capital Regional C (2C)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)\; Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A)","Uberaba","Uberaba","Triângulo Mineiro/Alto Paranaíba","Uberaba"
"3126802","MG","Frei Gaspar","https://cidades.ibge.gov.br/brasil/mg/frei-gaspar/panorama","5.858 pessoas","5.879 pessoas","9,38 hab/km²","1,7 salários mínimos","411 pessoas","7,0 %","44,9 %","96,8 %","5,9","3,8","840 matrículas","263 matrículas","51 docentes","20 docentes","6 escolas","1 escolas","9.219,23 R$","98 %","0,590","17.122,93 R$ (×1000)","15.537,76 R$ (×1000)","- óbitos por mil nascidos vivos","0,7 internações por mil habitantes","4 estabelecimentos","626,672 km²","51,4 %","28,2 %","13,7 %","Mata Atlântica","Não pertence","Centro Local (5)","Teófilo Otoni - Capital Regional C (2C)","Teófilo Otoni","Teófilo Otoni","Vale do Mucuri","Teófilo Otoni"
"3136959","MG","Juvenília","https://cidades.ibge.gov.br/brasil/mg/juvenilia/panorama","5.706 pessoas","5.708 pessoas","5,36 hab/km²","1,4 salários mínimos","433 pessoas","7,6 %","55,3 %","96,7 %","5,1","4,3","948 matrículas","295 matrículas","91 docentes","40 docentes","8 escolas","3 escolas","8.908,64 R$","94,7 %","0,592","17.065,22 R$ (×1000)","14.524,89 R$ (×1000)","17,86 óbitos por mil nascidos vivos","3,1 internações por mil habitantes","4 estabelecimentos","1.064,692 km²","7,2 %","49,6 %","0 %","Caatinga","Não pertence","Centro Local (5)","Montalvânia - Centro de Zona B (4B)","Montes Claros","Januária","Norte de Minas","Januária"
"3111408","MG","Campo Florido","https://cidades.ibge.gov.br/brasil/mg/campo-florido/panorama"," pessoas"," pessoas"," hab/km²"," salários mínimos"," pessoas"," %"," %"," %","",""," matrículas"," matrículas"," docentes"," docentes"," escolas"," escolas"," R$"," %",""," R$ (×1000)"," R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","",""
"3160009","MG","Santo Antônio do Aventureiro","https://cidades.ibge.gov.br/brasil/mg/santo-antonio-do-aventureiro/panorama","3.602 pessoas","3.538 pessoas","17,51 hab/km²","1,7 salários mínimos","493 pessoas","13,7 %","32,3 %","98,4 %","6,2","3,7","438 matrículas","116 matrículas","43 docentes","15 docentes","3 escolas","1 escolas","12.607,59 R$","94,4 %","0,671","13.881,31 R$ (×1000)","11.691,28 R$ (×1000)","- óbitos por mil nascidos vivos","1,1 internações por mil habitantes","3 estabelecimentos","202,032 km²","14,3 %","87,1 %","41,7 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Além Paraíba/MG - Sapucaia/RJ - Centro Subregional A (3A)","Juíz de Fora","Além Paraíba","Zona da Mata","Cataguases"
"3147303","MG","Paraisópolis","https://cidades.ibge.gov.br/brasil/mg/paraisopolis/panorama","21.353 pessoas","19.379 pessoas","58,50 hab/km²","2,0 salários mínimos","4.500 pessoas","21,3 %","32 %","95,1 %","7,0","5,3","2.427 matrículas","662 matrículas","177 docentes","83 docentes","9 escolas","4 escolas","23.421,67 R$","76,9 %","0,729","45.911,19 R$ (×1000)","41.027,98 R$ (×1000)","10,15 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","12 estabelecimentos","331,238 km²","83,9 %","66 %","47,6 %","Mata Atlântica","Não pertence","Centro de Zona B (4B)","Pouso Alegre - Capital Regional C (2C)","Pouso Alegre","Itajubá","Sul/Sudoeste de Minas","Itajubá"
"3130903","MG","Inhapim","https://cidades.ibge.gov.br/brasil/mg/inhapim/panorama","24.020 pessoas","24.294 pessoas","28,31 hab/km²","1,6 salários mínimos","3.040 pessoas","12,6 %","43 %","97,9 %","6,4","5,4","2.560 matrículas","747 matrículas","218 docentes","69 docentes","30 escolas","5 escolas","12.610,26 R$","90,1 %","0,658","44.299,90 R$ (×1000)","44.560,01 R$ (×1000)","15,81 óbitos por mil nascidos vivos","2,8 internações por mil habitantes","24 estabelecimentos","858,024 km²","47,6 %","74,8 %","43,5 %","Mata Atlântica","Não pertence","Centro de Zona B (4B)","Caratinga - Centro Subregional B (3B)","Ipatinga","Caratinga","Vale do Rio Doce","Caratinga"
"3118700","MG","Coqueiral","https://cidades.ibge.gov.br/brasil/mg/coqueiral/panorama","9.099 pessoas","9.289 pessoas","31,36 hab/km²","1,7 salários mínimos","914 pessoas","10,0 %","35,1 %","97,4 %","6,8","5,0","993 matrículas","284 matrículas","64 docentes","18 docentes","11 escolas","1 escolas","17.043,31 R$","83,6 %","0,694","19.905,19 R$ (×1000)","15.251,03 R$ (×1000)","19,61 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","9 estabelecimentos","296,163 km²","70,3 %","76,2 %","29,5 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Varginha - Capital Regional C (2C)","Varginha","Três Pontas - Boa Esperança","Sul/Sudoeste de Minas","Varginha"
"3144359","MG","Naque","https://cidades.ibge.gov.br/brasil/mg/naque/panorama","7.104 pessoas","6.341 pessoas","49,86 hab/km²","1,5 salários mínimos","688 pessoas","9,8 %","40,9 %","98,9 %","5,9","4,2","951 matrículas","209 matrículas","50 docentes","18 docentes","2 escolas","1 escolas","10.708,92 R$","92 %","0,675","17.197,13 R$ (×1000)","15.413,31 R$ (×1000)","8,47 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","7 estabelecimentos","127,173 km²","79,2 %","96,1 %","18,5 %","Mata Atlântica","Não pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Ipatinga/MG","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Ipatinga","Ipatinga","Vale do Rio Doce","Ipatinga"
"3106705","MG","Betim","https://cidades.ibge.gov.br/brasil/mg/betim/panorama","450.024 pessoas","378.089 pessoas","1.102,80 hab/km²","3,2 salários mínimos","118.718 pessoas","27,0 %","33,7 %","98 %","6,1","5,1","54.296 matrículas","15.721 matrículas","2.812 docentes","958 docentes","118 escolas","37 escolas","58.911,58 R$","71 %","0,749","1.775.733,39 R$ (×1000)","1.363.402,09 R$ (×1000)","13,06 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","73 estabelecimentos","343,884 km²","86 %","74,3 %","33,4 %","Cerrado;Mata Atlântica","Não pertence","Metrópole (1C) - Município integrante do Arranjo Populacional de Belo Horizonte/MG","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Belo Horizonte","Belo Horizonte","Metropolitana de Belo Horizonte","Belo Horizonte"
"3114204","MG","Carmo do Cajuru","https://cidades.ibge.gov.br/brasil/mg/carmo-do-cajuru/panorama","22.900 pessoas","20.012 pessoas","43,90 hab/km²","1,9 salários mínimos","4.977 pessoas","22,1 %","32,1 %","98,5 %","6,5","4,7","2.788 matrículas","769 matrículas","188 docentes","95 docentes","15 escolas","6 escolas","18.309,30 R$","77,9 %","0,710","56.177,72 R$ (×1000)","50.142,11 R$ (×1000)","10,53 óbitos por mil nascidos vivos","0 internações por mil habitantes","7 estabelecimentos","455,808 km²","87,9 %","71 %","16,5 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Divinópolis - Capital Regional C (2C)","Divinópolis","Divinópolis","Oeste de Minas","Divinópolis"
"3164506","MG","São Sebastião do Maranhão","https://cidades.ibge.gov.br/brasil/mg/sao-sebastiao-do-maranhao/panorama","9.884 pessoas","10.647 pessoas","20,56 hab/km²","1,4 salários mínimos","594 pessoas","5,9 %","49 %","96 %","5,9","4,7","1.217 matrículas","465 matrículas","103 docentes","58 docentes","17 escolas","4 escolas","7.579,42 R$","94,3 %","0,581","20.752,21 R$ (×1000)","19.116,89 R$ (×1000)","28,04 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","4 estabelecimentos","517,830 km²","28,4 %","56,1 %","18,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Governador Valadares","Guanhães","Vale do Rio Doce","Peçanha"
"3154903","MG","Rio Casca","https://cidades.ibge.gov.br/brasil/mg/rio-casca/panorama","13.384 pessoas","14.201 pessoas","36,95 hab/km²","1,6 salários mínimos","2.069 pessoas","15,3 %","37,3 %","98,2 %","5,6","5,0","1.570 matrículas","499 matrículas","80 docentes","26 docentes","9 escolas","1 escolas","14.225,73 R$","89,4 %","0,650","34.600,53 R$ (×1000)","30.442,40 R$ (×1000)","6,41 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","11 estabelecimentos","384,381 km²","76,9 %","55,5 %","61,1 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Ponte Nova/MG - Centro Subregional B (3B)","Juíz de Fora","Ponte Nova","Zona da Mata","Ponte Nova"
"3149002","MG","Pedra Dourada","https://cidades.ibge.gov.br/brasil/mg/pedra-dourada/panorama","2.559 pessoas","2.191 pessoas","31,30 hab/km²","1,6 salários mínimos","310 pessoas","12,4 %","43,6 %","97,6 %","6,6","5,4","363 matrículas","129 matrículas","28 docentes","12 docentes","1 escolas","1 escolas","12.302,19 R$","93,7 %","0,655","14.644,65 R$ (×1000)","11.407,88 R$ (×1000)","- óbitos por mil nascidos vivos","0,8 internações por mil habitantes","1 estabelecimentos","69,990 km²","72,3 %","89,4 %","47,4 %","Mata Atlântica","Não pertence","Centro Local (5)","Carangola - Centro de Zona A (4A)","Juíz de Fora","Carangola","Zona da Mata","Muriaé"
"3131703","MG","Itabira","https://cidades.ibge.gov.br/brasil/mg/itabira/panorama","121.717 pessoas","109.783 pessoas","87,57 hab/km²","2,1 salários mínimos","31.982 pessoas","26,6 %","34,7 %","98,7 %","6,4","4,8","13.651 matrículas","4.002 matrículas","782 docentes","306 docentes","46 escolas","17 escolas","55.544,11 R$","- %","0,756","501.598,32 R$ (×1000)","428.813,12 R$ (×1000)","13,87 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","44 estabelecimentos","1.253,704 km²","92 %","25,2 %","62,4 %","Cerrado;Mata Atlântica","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Belo Horizonte","Itabira","Metropolitana de Belo Horizonte","Itabira"
"3171808","MG","Virginópolis","https://cidades.ibge.gov.br/brasil/mg/virginopolis/panorama","10.459 pessoas","10.572 pessoas","24,03 hab/km²","1,6 salários mínimos","1.202 pessoas","11,4 %","42 %","98,2 %","5,6","4,2","1.449 matrículas","351 matrículas","105 docentes","43 docentes","8 escolas","2 escolas","14.031,09 R$","82,9 %","0,675","27.243,45 R$ (×1000)","24.562,07 R$ (×1000)","- óbitos por mil nascidos vivos","3,3 internações por mil habitantes","4 estabelecimentos","439,878 km²","53,7 %","55,4 %","11,4 %","Mata Atlântica","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Governador Valadares","Guanhães","Vale do Rio Doce","Guanhães"
"5004106","MS","Guia Lopes da Laguna","https://cidades.ibge.gov.br/brasil/ms/guia-lopes-da-laguna/panorama","9.754 pessoas","10.366 pessoas","8,56 hab/km²","2,0 salários mínimos","1.281 pessoas","12,9 %","38,7 %","96,5 %","5,6","5,3","1.609 matrículas","351 matrículas","83 docentes","32 docentes","4 escolas","2 escolas","25.855,38 R$","87,7 %","0,675","30.531,83 R$ (×1000)","27.111,67 R$ (×1000)","15,15 óbitos por mil nascidos vivos","4,7 internações por mil habitantes","7 estabelecimentos","1.225,426 km²","8,5 %","94 %","3,2 %","Cerrado","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Jardim/MS","Campo Grande - Capital Regional A (2A)","Corumbá","Jardim","Sudoeste de Mato Grosso do Sul","Bodoquena"
"3147600","MG","Passa Quatro","https://cidades.ibge.gov.br/brasil/mg/passa-quatro/panorama","16.439 pessoas","15.582 pessoas","56,21 hab/km²","1,9 salários mínimos","3.510 pessoas","21,5 %","34,4 %","98 %","6,8","4,8","1.804 matrículas","581 matrículas","136 docentes","47 docentes","14 escolas","3 escolas","22.847,44 R$","- %","0,715","41.167,59 R$ (×1000)","36.294,16 R$ (×1000)","15,87 óbitos por mil nascidos vivos","1 internações por mil habitantes","13 estabelecimentos","277,221 km²","75,5 %","59,8 %","23,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Cruzeiro/SP - Centro Subregional B (3B)","Pouso Alegre","São Lourenço","Sul/Sudoeste de Minas","São Lourenço"
"1505908","PA","Porto de Moz","https://cidades.ibge.gov.br/brasil/pa/porto-de-moz/panorama","42.456 pessoas","33.956 pessoas","1,95 hab/km²","2,0 salários mínimos","2.492 pessoas","6,1 %","53,7 %","89,4 %","3,8","3,2","12.099 matrículas","1.760 matrículas","494 docentes","49 docentes","94 escolas","2 escolas","7.660,88 R$","- %","0,503","90.609,48 R$ (×1000)","89.916,70 R$ (×1000)","27,34 óbitos por mil nascidos vivos","2,5 internações por mil habitantes","14 estabelecimentos","17.423,017 km²","11,5 %","20 %","4,4 %","Amazônia","Não pertence","Centro Local (5)","Arranjo Populacional de Belém/PA - Metrópole (1C)","Altamira","Almeirim - Porto de Moz","Baixo Amazonas","Almeirim"
"3168408","MG","Tarumirim","https://cidades.ibge.gov.br/brasil/mg/tarumirim/panorama","14.280 pessoas","14.293 pessoas","19,53 hab/km²","1,4 salários mínimos","1.526 pessoas","10,7 %","43,5 %","97,1 %","6,5","5,0","1.609 matrículas","430 matrículas","156 docentes","67 docentes","15 escolas","6 escolas","10.076,86 R$","- %","0,633","27.872,80 R$ (×1000)","27.791,71 R$ (×1000)","25,86 óbitos por mil nascidos vivos","16 internações por mil habitantes","14 estabelecimentos","731,753 km²","50,7 %","88,9 %","25,1 %","Mata Atlântica","Não pertence","Centro Local (5)","Governador Valadares - Capital Regional C (2C)","Governador Valadares","Governador Valadares","Vale do Rio Doce","Caratinga"
"5003306","MS","Coxim","https://cidades.ibge.gov.br/brasil/ms/coxim/panorama","33.547 pessoas","32.159 pessoas","5,02 hab/km²","2,1 salários mínimos","5.442 pessoas","16,2 %","34,9 %","97,1 %","5,4","4,6","4.528 matrículas","1.221 matrículas","228 docentes","103 docentes","13 escolas","5 escolas","26.823,76 R$","71,2 %","0,703","117.259,73 R$ (×1000)","101.848,90 R$ (×1000)","9,8 óbitos por mil nascidos vivos","2,8 internações por mil habitantes","11 estabelecimentos","6.391,486 km²","13,9 %","92,4 %","16,2 %","Cerrado;Pantanal","Não pertence","Centro Subregional B (3B)","Campo Grande - Capital Regional A (2A)","Campo Grande","Coxim","Centro Norte de Mato Grosso do Sul","Alto Taquari"
"1503705","PA","Itupiranga","https://cidades.ibge.gov.br/brasil/pa/itupiranga/panorama","53.439 pessoas","51.220 pessoas","6,50 hab/km²","1,9 salários mínimos","2.799 pessoas","5,3 %","51,1 %","91,2 %","4,2","3,6","8.988 matrículas","1.844 matrículas","449 docentes","64 docentes","86 escolas","4 escolas","9.760,03 R$","95,4 %","0,528","99.510,10 R$ (×1000)","98.144,22 R$ (×1000)","15,37 óbitos por mil nascidos vivos","1,6 internações por mil habitantes","13 estabelecimentos","7.880,109 km²","8,8 %","18,3 %","2,6 %","Amazônia","Não pertence","Centro Local (5)","Marabá - Capital Regional C (2C)","Marabá","Marabá","Sudeste Paraense","Tucuruí"
"1508050","PA","Trairão","https://cidades.ibge.gov.br/brasil/pa/trairao/panorama","19.344 pessoas","16.875 pessoas","1,41 hab/km²","2,0 salários mínimos","1.086 pessoas","5,7 %","45,4 %","94,3 %","4,6","4,1","2.615 matrículas","510 matrículas","114 docentes","18 docentes","19 escolas","2 escolas","15.639,24 R$","- %","0,562","39.906,43 R$ (×1000)","36.188,58 R$ (×1000)","18,18 óbitos por mil nascidos vivos","3,2 internações por mil habitantes","12 estabelecimentos","11.991,085 km²","1,4 %","11,5 %","0,1 %","Amazônia","Não pertence","Centro Local (5)","Itaituba - Centro Subregional B (3B)","Santarém","Itaituba","Sudoeste Paraense","Itaituba"
"1505536","PA","Parauapebas","https://cidades.ibge.gov.br/brasil/pa/parauapebas/panorama","218.787 pessoas","153.908 pessoas","22,35 hab/km²","2,8 salários mínimos","56.766 pessoas","27,3 %","38,5 %","95,8 %","5,6","4,5","41.361 matrículas","11.489 matrículas","1.257 docentes","361 docentes","79 escolas","22 escolas","78.841,15 R$","80,9 %","0,715","1.043.305,11 R$ (×1000)","976.054,39 R$ (×1000)","12,45 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","25 estabelecimentos","6.885,794 km²","45,7 %","30,5 %","21,8 %","Amazônia","Não pertence","Centro Subregional A (3A)","Marabá - Capital Regional C (2C)","Marabá","Parauapebas","Sudeste Paraense","Parauapebas"
"5108006","MT","Tapurah","https://cidades.ibge.gov.br/brasil/mt/tapurah/panorama","14.380 pessoas","10.392 pessoas","2,30 hab/km²","2,5 salários mínimos","3.282 pessoas","23,9 %","36,6 %","96,6 %","5,9","-","1.860 matrículas","497 matrículas","83 docentes","29 docentes","6 escolas","2 escolas","67.010,90 R$","76,9 %","0,714","51.046,39 R$ (×1000)","44.257,36 R$ (×1000)","8,81 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","8 estabelecimentos","4.492,539 km²","18,7 %","17,4 %","2,8 %","Amazônia;Cerrado","Não pertence","Centro Local (5)","Lucas do Rio Verde - Centro Subregional B (3B)","Sinop","Sorriso","Norte Mato-grossense","Alto Teles Pires"
