"Código IBGE","Estado","Município","URL","Gentílico","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"3140704","PR","mateus-leme","https://cidades.ibge.gov.br/brasil/mg/mateus-leme","mateus-lemense","31.631 pessoas","27.856 pessoas","92,02 hab/km² hab/km²","1,8 salários mínimos","6.510 pessoas","20,9 %","32,7 %","96,9 %","6,2","4,6","4.781 matrículas","1.400 matrículas","256 docentes","93 docentes","17 escolas","5 escolas","22.650,53 R$","- %","0,704","70.815,30 R$ (×1000)","63.605,96 R$ (×1000)","16,55 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","15 estabelecimentos","301,383 km²","60,9 %","72,4 %","7,9 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Belo Horizonte","Belo Horizonte","Metropolitana de Belo Horizonte","Belo Horizonte"
"3141603","PR","merces","https://cidades.ibge.gov.br/brasil/mg/merces","mercesano","10.775 pessoas","10.368 pessoas","29,77 hab/km² hab/km²","1,5 salários mínimos","1.143 pessoas","10,6 %","37,4 %","97,9 %","6,3","3,9","1.143 matrículas","312 matrículas","89 docentes","45 docentes","7 escolas","2 escolas","11.118,41 R$","87,3 %","0,664","27.389,95 R$ (×1000)","24.654,18 R$ (×1000)","38,96 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","11 estabelecimentos","348,271 km²","65,4 %","36,5 %","34,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Juiz de Fora/MG - Capital Regional B (2B)","Juíz de Fora","Ubá","Zona da Mata","Ubá"
"3141108","PR","matozinhos","https://cidades.ibge.gov.br/brasil/mg/matozinhos","matozinhense","38.469 pessoas","33.955 pessoas","134,59 hab/km² hab/km²","1,9 salários mínimos","10.437 pessoas","27,6 %","33,2 %","99,2 %","6,3","4,2","4.605 matrículas","1.297 matrículas","285 docentes","97 docentes","16 escolas","6 escolas","27.209,92 R$","74,7 %","0,731","80.499,70 R$ (×1000)","21.432,67 R$ (×1000)","6,16 óbitos por mil nascidos vivos","0,9 internações por mil habitantes","13 estabelecimentos","252,453 km²","67,2 %","72,9 %","5,4 %","Cerrado","Não pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Matozinhos/MG","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Belo Horizonte","Sete Lagoas","Metropolitana de Belo Horizonte","Sete Lagoas"
"3142700","PR","montalvania","https://cidades.ibge.gov.br/brasil/mg/montalvania","montalvanense","14.621 pessoas","15.862 pessoas","10,55 hab/km² hab/km²","1,5 salários mínimos","1.390 pessoas","9,3 %","49,8 %","96,2 %","6,2","4,5","2.160 matrículas","744 matrículas","161 docentes","88 docentes","22 escolas","6 escolas","8.741,65 R$","92 %","0,613","30.085,23 R$ (×1000)","24.657,21 R$ (×1000)","15,63 óbitos por mil nascidos vivos","7,6 internações por mil habitantes","7 estabelecimentos","1.503,755 km²","7,3 %","55,6 %","0,5 %","Caatinga;Cerrado","Não pertence","Centro de Zona B (4B)","Montes Claros - Capital Regional B (2B)","Montes Claros","Januária","Norte de Minas","Januária"
"3140902","PR","matipo","https://cidades.ibge.gov.br/brasil/mg/matipo","matipoense","19.098 pessoas","17.639 pessoas","66,07 hab/km² hab/km²","1,7 salários mínimos","2.218 pessoas","11,7 %","39,2 %","97,7 %","5,7","4,6","2.782 matrículas","1.056 matrículas","186 docentes","87 docentes","15 escolas","4 escolas","20.179,73 R$","87,1 %","0,631","39.004,81 R$ (×1000)","36.183,38 R$ (×1000)","3,89 óbitos por mil nascidos vivos","1,8 internações por mil habitantes","11 estabelecimentos","266,990 km²","70,7 %","70,2 %","25,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Manhuaçu - Centro Subregional A (3A)","Juíz de Fora","Manhuaçu","Zona da Mata","Manhuaçu"
"3142601","PR","monsenhor-paulo","https://cidades.ibge.gov.br/brasil/mg/monsenhor-paulo","paulense","8.764 pessoas","8.161 pessoas","37,69 hab/km² hab/km²","1,7 salários mínimos","1.481 pessoas","17,0 %","27,7 %","99,2 %","7,1","5,5","1.000 matrículas","339 matrículas","63 docentes","22 docentes","6 escolas","1 escolas","20.368,08 R$","88,2 %","0,721","21.816,53 R$ (×1000)","23.294,05 R$ (×1000)","15,63 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","5 estabelecimentos","216,540 km²","80,1 %","21,2 %","55,8 %","Mata Atlântica","Não pertence","Centro Local (5)","Varginha - Capital Regional C (2C)","Varginha","Varginha","Sul/Sudoeste de Minas","Varginha"
"3142007","PR","mirabela","https://cidades.ibge.gov.br/brasil/mg/mirabela","mirabelense","13.651 pessoas","13.042 pessoas","18,03 hab/km² hab/km²","1,5 salários mínimos","1.220 pessoas","9,0 %","48,8 %","98,7 %","6,0","4,8","1.480 matrículas","464 matrículas","124 docentes","42 docentes","9 escolas","2 escolas","9.323,97 R$","85,8 %","0,665","30.135,51 R$ (×1000)","26.905,49 R$ (×1000)","- óbitos por mil nascidos vivos","0,1 internações por mil habitantes","14 estabelecimentos","723,278 km²","7,4 %","76,7 %","1,9 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Montes Claros - Capital Regional B (2B)","Montes Claros","Montes Claros","Norte de Minas","Montes Claros"
"3141900","PR","minduri","https://cidades.ibge.gov.br/brasil/mg/minduri","mindurense","3.891 pessoas","3.840 pessoas","17,47 hab/km² hab/km²","1,7 salários mínimos","619 pessoas","15,9 %","43,9 %","96,5 %","6,8","4,6","440 matrículas","140 matrículas","28 docentes","15 docentes","3 escolas","1 escolas","17.800,02 R$","86,3 %","0,658","17.145,66 R$ (×1000)","15.127,67 R$ (×1000)","- óbitos por mil nascidos vivos","0,8 internações por mil habitantes","4 estabelecimentos","219,774 km²","88 %","34,2 %","46,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Cruzília - Centro de Zona B (4B)","Pouso Alegre","Caxambu - Baependi","Sul/Sudoeste de Minas","Andrelândia"
"3143005","PR","monte-belo","https://cidades.ibge.gov.br/brasil/mg/monte-belo","monte-belano","13.139 pessoas","13.061 pessoas","31,00 hab/km² hab/km²","1,9 salários mínimos","4.141 pessoas","31,5 %","33,7 %","98,2 %","6,7","5,4","1.337 matrículas","375 matrículas","72 docentes","22 docentes","6 escolas","1 escolas","19.976,02 R$","84,3 %","0,688","34.048,11 R$ (×1000)","28.909,42 R$ (×1000)","14,81 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","8 estabelecimentos","421,283 km²","69,5 %","66,5 %","64,2 %","Mata Atlântica","Não pertence","Centro Local (5)","Alfenas - Centro Subregional A (3A)","Varginha","Guaxupé","Sul/Sudoeste de Minas","São Sebastião do Paraíso"
"3143104","PR","monte-carmelo","https://cidades.ibge.gov.br/brasil/mg/monte-carmelo","carmelitano","48.049 pessoas","45.772 pessoas","34,08 hab/km² hab/km²","1,8 salários mínimos","9.668 pessoas","20,2 %","32,3 %","98,4 %","6,8","5,2","5.379 matrículas","1.586 matrículas","270 docentes","120 docentes","19 escolas","6 escolas","23.654,49 R$","73,6 %","0,728","110.240,19 R$ (×1000)","93.227,07 R$ (×1000)","13,47 óbitos por mil nascidos vivos","4,5 internações por mil habitantes","20 estabelecimentos","1.343,035 km²","89,2 %","88,6 %","20,9 %","Cerrado","Não pertence","Centro Subregional B (3B)","Uberlândia - Capital Regional B (2B)","Uberlândia","Monte Carmelo","Triângulo Mineiro/Alto Paranaíba","Patrocínio"
"3142254","PR","miravania","https://cidades.ibge.gov.br/brasil/mg/miravania","miravaniense","4.939 pessoas","4.549 pessoas","7,55 hab/km² hab/km²","1,4 salários mínimos","370 pessoas","7,6 %","53,2 %","96 %","5,6","-","568 matrículas","237 matrículas","50 docentes","22 docentes","5 escolas","1 escolas","7.718,63 R$","93,5 %","0,593","16.623,27 R$ (×1000)","14.418,62 R$ (×1000)","- óbitos por mil nascidos vivos","0,2 internações por mil habitantes","3 estabelecimentos","602,128 km²","3,2 %","78,2 %","0 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Montes Claros - Capital Regional B (2B)","Montes Claros","Janaúba","Norte de Minas","Januária"
"3142106","PR","miradouro","https://cidades.ibge.gov.br/brasil/mg/miradouro","miradourense","10.818 pessoas","10.251 pessoas","33,98 hab/km² hab/km²","1,5 salários mínimos","1.186 pessoas","11,0 %","42,4 %","98,3 %","7,1","5,6","1.039 matrículas","337 matrículas","97 docentes","27 docentes","9 escolas","1 escolas","12.062,50 R$","94,8 %","0,663","26.147,19 R$ (×1000)","22.401,45 R$ (×1000)","- óbitos por mil nascidos vivos","0,4 internações por mil habitantes","8 estabelecimentos","301,672 km²","62,4 %","86,2 %","42 %","Mata Atlântica","Não pertence","Centro Local (5)","Muriaé - Centro Subregional A (3A)","Juíz de Fora","Muriaé","Zona da Mata","Muriaé"
"3142205","PR","mirai","https://cidades.ibge.gov.br/brasil/mg/mirai","miraiense","15.205 pessoas","13.808 pessoas","43,06 hab/km² hab/km²","1,7 salários mínimos","2.599 pessoas","17,3 %","34,5 %","98,2 %","6,6","4,7","1.383 matrículas","372 matrículas","92 docentes","44 docentes","9 escolas","1 escolas","16.974,53 R$","86,2 %","0,680","31.941,07 R$ (×1000)","30.037,49 R$ (×1000)","20,13 óbitos por mil nascidos vivos","6,5 internações por mil habitantes","13 estabelecimentos","320,695 km²","84,5 %","90,8 %","37,7 %","Mata Atlântica","Não pertence","Centro Local (5)","Muriaé - Centro Subregional A (3A)","Juíz de Fora","Muriaé","Zona da Mata","Muriaé"
"3142502","PR","monjolos","https://cidades.ibge.gov.br/brasil/mg/monjolos","monjolense","2.184 pessoas","2.360 pessoas","3,63 hab/km² hab/km²","2,1 salários mínimos","281 pessoas","12,7 %","41,2 %","97,4 %","6,2","5,1","280 matrículas","81 matrículas","24 docentes","12 docentes","3 escolas","1 escolas","12.568,70 R$","88 %","0,650","13.599,14 R$ (×1000)","11.230,74 R$ (×1000)","- óbitos por mil nascidos vivos","- internações por mil habitantes","2 estabelecimentos","650,911 km²","2,6 %","51,4 %","4 %","Cerrado","Não pertence","Centro Local (5)","Arranjo Populacional de Curvelo/MG - Centro Subregional B (3B)","Belo Horizonte","Curvelo","Central Mineira","Curvelo"
"3142403","PR","moema","https://cidades.ibge.gov.br/brasil/mg/moema","moemense","7.589 pessoas","7.028 pessoas","34,67 hab/km² hab/km²","1,7 salários mínimos","1.136 pessoas","15,1 %","27 %","97,7 %","6,9","5,6","911 matrículas","245 matrículas","52 docentes","24 docentes","6 escolas","1 escolas","15.042,17 R$","82,5 %","0,721","19.955,95 R$ (×1000)","17.579,58 R$ (×1000)","- óbitos por mil nascidos vivos","0,5 internações por mil habitantes","4 estabelecimentos","202,705 km²","71,3 %","87,4 %","1,7 %","Cerrado","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Divinópolis","Dores do Indaiá","Central Mineira","Bom Despacho"
"3143500","PR","morada-nova-de-minas","https://cidades.ibge.gov.br/brasil/mg/morada-nova-de-minas","moradense","8.955 pessoas","8.255 pessoas","3,96 hab/km² hab/km²","1,6 salários mínimos","2.299 pessoas","25,9 %","32,7 %","97,8 %","6,7","5,0","1.039 matrículas","275 matrículas","67 docentes","17 docentes","8 escolas","1 escolas","35.287,53 R$","85,5 %","0,696","32.024,40 R$ (×1000)","34.452,62 R$ (×1000)","11,63 óbitos por mil nascidos vivos","0,9 internações por mil habitantes","9 estabelecimentos","2.084,275 km²","2,2 %","94 %","19,8 %","Cerrado","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Divinópolis","Abaeté","Central Mineira","Três Marias"
"3143450","PR","montezuma","https://cidades.ibge.gov.br/brasil/mg/montezuma","montesumense","8.379 pessoas","7.464 pessoas","6,60 hab/km² hab/km²","1,3 salários mínimos","741 pessoas","9,0 %","48,5 %","97,1 %","6,1","4,6","906 matrículas","291 matrículas","60 docentes","23 docentes","6 escolas","1 escolas","8.410,77 R$","92,8 %","0,587","18.547,33 R$ (×1000)","17.838,25 R$ (×1000)","14,08 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","9 estabelecimentos","1.130,419 km²","25,1 %","75,3 %","6,1 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Montes Claros - Capital Regional B (2B)","Montes Claros","Espinosa","Norte de Minas","Salinas"
"3144003","PR","mutum","https://cidades.ibge.gov.br/brasil/mg/mutum","mutuense","26.945 pessoas","26.661 pessoas","21,31 hab/km² hab/km²","2,0 salários mínimos","3.641 pessoas","13,5 %","39,7 %","94,9 %","6,7","5,5","3.251 matrículas","886 matrículas","251 docentes","102 docentes","32 escolas","7 escolas","14.005,07 R$","85,7 %","0,644","50.071,05 R$ (×1000)","47.698,57 R$ (×1000)","8,31 óbitos por mil nascidos vivos","5,5 internações por mil habitantes","17 estabelecimentos","1.250,824 km²","45,5 %","73,1 %","29,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Manhuaçu - Centro Subregional A (3A)","Juíz de Fora","Manhuaçu","Vale do Rio Doce","Aimorés"
"3142809","PR","monte-alegre-de-minas","https://cidades.ibge.gov.br/brasil/mg/monte-alegre-de-minas","monte-alegrense","21.349 pessoas","19.619 pessoas","7,56 hab/km² hab/km²","1,8 salários mínimos","3.070 pessoas","14,5 %","32,1 %","94,5 %","5,8","4,7","2.323 matrículas","608 matrículas","148 docentes","56 docentes","12 escolas","3 escolas","25.230,22 R$","76,6 %","0,674","71.267,64 R$ (×1000)","64.171,95 R$ (×1000)","18,18 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","9 estabelecimentos","2.595,957 km²","73,7 %","88,1 %","35,1 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Uberlândia - Capital Regional B (2B)","Uberlândia","Uberlândia","Triângulo Mineiro/Alto Paranaíba","Uberlândia"
"3144102","PR","muzambinho","https://cidades.ibge.gov.br/brasil/mg/muzambinho","muzambinhense","20.522 pessoas","20.430 pessoas","49,84 hab/km² hab/km²","1,9 salários mínimos","3.928 pessoas","19,1 %","31,5 %","97,8 %","6,3","5,1","2.523 matrículas","1.158 matrículas","161 docentes","125 docentes","12 escolas","4 escolas","18.968,57 R$","65,8 %","0,740","50.567,29 R$ (×1000)","43.328,48 R$ (×1000)","11,41 óbitos por mil nascidos vivos","2,6 internações por mil habitantes","7 estabelecimentos","409,948 km²","83,2 %","72,9 %","47,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Guaxupé - Centro Subregional B (3B)\; Poços de Caldas - Capital Regional C (2C)","Varginha","Guaxupé","Sul/Sudoeste de Minas","São Sebastião do Paraíso"
"3143906","PR","muriae","https://cidades.ibge.gov.br/brasil/mg/muriae","muriaense","109.997 pessoas","100.765 pessoas","119,72 hab/km² hab/km²","1,9 salários mínimos","27.428 pessoas","25,2 %","29,3 %","97,3 %","6,7","5,2","12.021 matrículas","3.706 matrículas","699 docentes","329 docentes","51 escolas","16 escolas","19.884,40 R$","56,8 %","0,734","298.066,76 R$ (×1000)","253.341,50 R$ (×1000)","13,16 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","66 estabelecimentos","841,693 km²","88,9 %","79 %","53,9 %","Mata Atlântica","Não pertence","Centro Subregional A (3A)","Arranjo Populacional de Juiz de Fora/MG - Capital Regional B (2B)","Juíz de Fora","Muriaé","Zona da Mata","Muriaé"
"3143153","PR","monte-formoso","https://cidades.ibge.gov.br/brasil/mg/monte-formoso","monte","4.939 pessoas","4.656 pessoas","12,08 hab/km² hab/km²","1,5 salários mínimos","284 pessoas","5,8 %","51,4 %","97,7 %","5,6","4,1","748 matrículas","342 matrículas","45 docentes","25 docentes","10 escolas","1 escolas","7.049,53 R$","95,7 %","0,541","14.335,17 R$ (×1000)","13.686,73 R$ (×1000)","12,05 óbitos por mil nascidos vivos","- internações por mil habitantes","5 estabelecimentos","385,553 km²","33,8 %","78,6 %","0 %","Mata Atlântica","Não pertence","Centro Local (5)","Padre Paraíso - Centro de Zona B (4B)","Teófilo Otoni","Teófilo Otoni","Jequitinhonha","Almenara"
"3143302","PR","montes-claros","https://cidades.ibge.gov.br/brasil/mg/montes-claros","montes-clarense","417.478 pessoas","361.915 pessoas","101,41 hab/km² hab/km²","2,1 salários mínimos","100.617 pessoas","24,6 %","36,4 %","98,4 %","6,4","4,9","49.390 matrículas","15.907 matrículas","2.441 docentes","1.107 docentes","141 escolas","55 escolas","23.323,68 R$","- %","0,770","692.543,65 R$ (×1000)","558.701,20 R$ (×1000)","9,99 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","116 estabelecimentos","3.589,811 km²","93,4 %","56 %","10 %","Caatinga;Cerrado","Não pertence","Capital Regional B (2B)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Montes Claros","Montes Claros","Norte de Minas","Montes Claros"
"3143203","PR","monte-santo-de-minas","https://cidades.ibge.gov.br/brasil/mg/monte-santo-de-minas","monte-santense","21.504 pessoas","21.234 pessoas","35,71 hab/km² hab/km²","1,6 salários mínimos","3.716 pessoas","17,3 %","29,4 %","98,3 %","6,4","4,8","2.283 matrículas","629 matrículas","145 docentes","55 docentes","7 escolas","3 escolas","18.777,47 R$","86,2 %","0,710","48.801,61 R$ (×1000)","43.342,52 R$ (×1000)","12,45 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","15 estabelecimentos","594,632 km²","85,5 %","68 %","30,5 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","São Sebastião do Paraíso - Centro Subregional B (3B)","Varginha","São Sebastião do Paraíso","Sul/Sudoeste de Minas","São Sebastião do Paraíso"
"3143609","PR","morro-da-garca","https://cidades.ibge.gov.br/brasil/mg/morro-da-garca","morrense","2.413 pessoas","2.660 pessoas","6,41 hab/km² hab/km²","1,3 salários mínimos","372 pessoas","15,1 %","42,1 %","96,6 %","6,3","4,7","314 matrículas","141 matrículas","33 docentes","11 docentes","4 escolas","1 escolas","18.698,73 R$","95,1 %","0,648","18.805,67 R$ (×1000)","16.100,93 R$ (×1000)","- óbitos por mil nascidos vivos","0,8 internações por mil habitantes","3 estabelecimentos","414,772 km²","40,7 %","55,5 %","0,6 %","Cerrado","Não pertence","Centro Local (5)","Arranjo Populacional de Curvelo/MG - Centro Subregional B (3B)","Belo Horizonte","Curvelo","Central Mineira","Curvelo"
"3143708","PR","morro-do-pilar","https://cidades.ibge.gov.br/brasil/mg/morro-do-pilar","morrense","3.126 pessoas","3.399 pessoas","7,12 hab/km² hab/km²","1,7 salários mínimos","368 pessoas","11,6 %","40,3 %","96,5 %","5,5","4,7","387 matrículas","158 matrículas","33 docentes","15 docentes","3 escolas","1 escolas","10.137,22 R$","- %","0,597","15.517,67 R$ (×1000)","12.244,29 R$ (×1000)","57,14 óbitos por mil nascidos vivos","- internações por mil habitantes","3 estabelecimentos","477,548 km²","48,8 %","28 %","6,2 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Itabira - Centro Subregional B (3B)","Belo Horizonte","Sete Lagoas","Metropolitana de Belo Horizonte","Conceição do Mato Dentro"
"3143807","PR","munhoz","https://cidades.ibge.gov.br/brasil/mg/munhoz","munhozense","5.960 pessoas","6.257 pessoas","32,66 hab/km² hab/km²","1,6 salários mínimos","729 pessoas","12,1 %","40,1 %","97,4 %","5,6","4,3","820 matrículas","202 matrículas","45 docentes","23 docentes","3 escolas","1 escolas","14.682,70 R$","90,7 %","0,647","16.758,77 R$ (×1000)","15.302,08 R$ (×1000)","- óbitos por mil nascidos vivos","0,2 internações por mil habitantes","2 estabelecimentos","191,564 km²","48,2 %","60,6 %","33,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Bragança Paulista - Centro Subregional A (3A)","Pouso Alegre","Pouso Alegre","Sul/Sudoeste de Minas","Pouso Alegre"
"3144508","PR","nazareno","https://cidades.ibge.gov.br/brasil/mg/nazareno","nazarenense","8.710 pessoas","7.954 pessoas","24,17 hab/km² hab/km²","2,5 salários mínimos","1.410 pessoas","16,4 %","38,7 %","98,8 %","5,8","5,0","954 matrículas","319 matrículas","52 docentes","24 docentes","2 escolas","1 escolas","36.328,95 R$","87,4 %","0,690","26.684,31 R$ (×1000)","22.351,52 R$ (×1000)","27,4 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","4 estabelecimentos","341,453 km²","67,3 %","51,8 %","17,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de São João del Rei/MG - Centro Subregional A (3A)","Barbacena","São João del Rei","Campo das Vertentes","São João Del Rei"
"3143401","PR","monte-siao","https://cidades.ibge.gov.br/brasil/mg/monte-siao","monte-sionense","24.247 pessoas","21.203 pessoas","72,71 hab/km² hab/km²","1,7 salários mínimos","5.943 pessoas","25,0 %","22,7 %","95,9 %","6,3","5,3","2.881 matrículas","771 matrículas","184 docentes","58 docentes","10 escolas","3 escolas","17.446,69 R$","- %","0,724","60.043,17 R$ (×1000)","52.581,48 R$ (×1000)","15,46 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","10 estabelecimentos","291,594 km²","85,7 %","90,6 %","52,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Campinas/SP - Metrópole (1C)\; Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A)","Pouso Alegre","Pouso Alegre","Sul/Sudoeste de Minas","Poços de Caldas"
"3144656","PR","ninheira","https://cidades.ibge.gov.br/brasil/mg/ninheira","ninheirense","10.355 pessoas","9.815 pessoas","8,86 hab/km² hab/km²","1,5 salários mínimos","843 pessoas","8,2 %","58,1 %","97,4 %","5,7","4,3","1.261 matrículas","396 matrículas","91 docentes","47 docentes","12 escolas","3 escolas","8.295,37 R$","- %","0,556","23.533,00 R$ (×1000)","21.353,99 R$ (×1000)","8,85 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","6 estabelecimentos","1.108,255 km²","13,5 %","28,9 %","1,6 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","São João do Paraíso - Centro de Zona B (4B)","Montes Claros","Salinas","Norte de Minas","Salinas"
"3144409","PR","natercia","https://cidades.ibge.gov.br/brasil/mg/natercia","naterciano","4.727 pessoas","4.658 pessoas","24,68 hab/km² hab/km²","1,6 salários mínimos","577 pessoas","12,2 %","32,8 %","98,6 %","6,6","5,7","418 matrículas","116 matrículas","30 docentes","20 docentes","4 escolas","1 escolas","15.921,42 R$","92,6 %","0,693","16.158,64 R$ (×1000)","14.096,93 R$ (×1000)","- óbitos por mil nascidos vivos","- internações por mil habitantes","6 estabelecimentos","188,719 km²","49 %","11,5 %","36 %","Mata Atlântica","Não pertence","Centro Local (5)","Pouso Alegre - Capital Regional C (2C)","Pouso Alegre","Pouso Alegre","Sul/Sudoeste de Minas","Santa Rita do Sapucaí"
"3136603","PR","nova-uniao","https://cidades.ibge.gov.br/brasil/mg/nova-uniao","nova-uniense","5.739 pessoas","5.555 pessoas","32,27 hab/km² hab/km²","1,6 salários mínimos","753 pessoas","13,2 %","38,3 %","98,6 %","5,4","4,3","794 matrículas","249 matrículas","59 docentes","25 docentes","5 escolas","2 escolas","14.983,42 R$","89,8 %","0,662","16.103,42 R$ (×1000)","16.346,72 R$ (×1000)","10,87 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","4 estabelecimentos","172,131 km²","69,2 %","46,8 %","0,8 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Belo Horizonte/MG - Metrópole (1C)","Belo Horizonte","Belo Horizonte","Metropolitana de Belo Horizonte","Itabira"
"3144300","PR","nanuque","https://cidades.ibge.gov.br/brasil/mg/nanuque","nanuquense","40.583 pessoas","40.834 pessoas","26,90 hab/km² hab/km²","1,8 salários mínimos","5.938 pessoas","14,6 %","36,9 %","97,4 %","5,8","3,9","4.828 matrículas","1.118 matrículas","272 docentes","87 docentes","24 escolas","6 escolas","17.319,35 R$","- %","0,701","83.037,97 R$ (×1000)","78.695,16 R$ (×1000)","23,16 óbitos por mil nascidos vivos","1 internações por mil habitantes","18 estabelecimentos","1.518,166 km²","79 %","84,7 %","9,6 %","Mata Atlântica","Não pertence","Centro de Zona A (4A)","Teixeira de Freitas - Centro Subregional A (3A)\; Teófilo Otoni - Capital Regional C (2C)","Teófilo Otoni","Teófilo Otoni","Vale do Mucuri","Nanuque"
"3144607","PR","nepomuceno","https://cidades.ibge.gov.br/brasil/mg/nepomuceno","nepomucenense","26.882 pessoas","25.733 pessoas","44,17 hab/km² hab/km²","1,7 salários mínimos","3.493 pessoas","13,0 %","34,7 %","96,1 %","6,1","4,3","3.033 matrículas","1.030 matrículas","176 docentes","93 docentes","15 escolas","3 escolas","17.122,86 R$","81,3 %","0,667","54.483,37 R$ (×1000)","46.563,05 R$ (×1000)","- óbitos por mil nascidos vivos","0,3 internações por mil habitantes","13 estabelecimentos","582,553 km²","80,1 %","41,3 %","49,6 %","Cerrado;Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Lavras/MG - Centro Subregional A (3A)","Varginha","Lavras","Campo das Vertentes","Lavras"
"3145356","PR","novo-oriente-de-minas","https://cidades.ibge.gov.br/brasil/mg/novo-oriente-de-minas","novo","10.800 pessoas","10.339 pessoas","13,69 hab/km² hab/km²","1,6 salários mínimos","668 pessoas","6,2 %","54 %","96,3 %","5,4","3,5","1.418 matrículas","470 matrículas","93 docentes","39 docentes","12 escolas","3 escolas","8.641,84 R$","95 %","0,555","23.253,56 R$ (×1000)","20.706,12 R$ (×1000)","- óbitos por mil nascidos vivos","0,3 internações por mil habitantes","4 estabelecimentos","755,151 km²","37,4 %","88,6 %","43,6 %","Mata Atlântica","Não pertence","Centro Local (5)","Teófilo Otoni - Capital Regional C (2C)","Teófilo Otoni","Teófilo Otoni","Vale do Mucuri","Teófilo Otoni"
"3145059","PR","nova-porteirinha","https://cidades.ibge.gov.br/brasil/mg/nova-porteirinha","novaporteirinhense","7.493 pessoas","7.398 pessoas","61,17 hab/km² hab/km²","1,9 salários mínimos","1.037 pessoas","13,8 %","43,1 %","98,3 %","5,8","4,0","743 matrículas","273 matrículas","65 docentes","43 docentes","7 escolas","3 escolas","14.062,63 R$","89,9 %","0,641","18.984,67 R$ (×1000)","16.433,22 R$ (×1000)","- óbitos por mil nascidos vivos","0,7 internações por mil habitantes","6 estabelecimentos","120,943 km²","24,5 %","62,8 %","5,6 %","Caatinga","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Janaúba/MG","Montes Claros - Capital Regional B (2B)","Montes Claros","Janaúba","Norte de Minas","Janaúba"
